Event_id,Timestamp,Src_ip,Dst_ip,Src_port,Dst_port,Protocol,Action,Bytes_sent,Bytes_received,Packet_count,Connection_duration_sec,Firewall_rule_id,Rule_action,Network_zone_src,Network_zone_dst,Latency_ms,Packet_loss_pct,Cpu_usage_fw_pct,Memory_usage_fw_pct,Concurrent_connections,Nat_translation
FW-20250322-M9TTNWB2,3/22/2025 9:11,172.16.125.72,185.48.44.123,8323,443,TCP,ALLOW,14513,4232,37,14.12,RULE-4959,accept,dmz,external,19.96,0.51,24.93,25.81,23,FALSE
FW-20250621-398CJU3J,6/21/2025 13:53,10.6.35.217,10.70.179.43,5760,22,TCP,ALLOW,8819,14522,46,9.27,RULE-5564,accept,internal,internal,22.18,0,26.88,31.47,2,TRUE
FW-20250222-UNOMJ5KF,2/22/2025 8:59,185.32.249.119,185.15.8.115,39499,5432,TCP,ALLOW,2581696,21117,6827,6.5,RULE-3040,accept,cloud,vpn,304.74,0.23,98.46,82.34,8613,FALSE
FW-20250316-XHTRD5D2,3/16/2025 18:30,185.244.124.146,172.16.92.241,7763,443,TCP,ALLOW,16834,19700,73,12.72,RULE-1048,accept,cloud,dmz,25.77,0.55,32.09,27.36,12,FALSE
FW-20250707-Z588H029,7/7/2025 23:57,10.142.125.84,172.16.102.254,18967,3306,TCP,ALLOW,8067,14034,44,10.14,RULE-6988,accept,internal,dmz,21.26,0.86,12.87,34.43,3,TRUE
FW-20250516-VPAWCFHS,5/16/2025 18:35,10.249.238.29,172.16.136.17,58401,8080,TCP,ALLOW,7326,25231,65,6.34,RULE-4737,accept,management,dmz,30.32,0.68,27.27,36.17,10,FALSE
FW-20250608-CD2MZMRW,6/8/2025 2:03,10.54.92.241,185.20.60.208,36636,80,TCP,ALLOW,5728,8481,28,1.92,RULE-5810,accept,management,external,24.46,0.1,20.31,29.53,8,FALSE
FW-20250426-GDKRKG5T,4/26/2025 11:33,10.185.71.30,185.170.55.217,40025,80,TCP,ALLOW,20920,3815,49,16.76,RULE-4616,accept,management,vpn,27,0.16,24.72,26.6,33,FALSE
FW-20250430-W3LL869O,4/30/2025 15:25,185.37.140.125,10.166.83.132,33453,8080,TCP,ALLOW,11701,15028,53,19.77,RULE-9427,accept,vpn,management,23.7,0.9,22.29,26.34,11,TRUE
FW-20250413-GB6MTH5W,4/13/2025 13:29,185.73.110.53,185.98.230.3,38094,443,TCP,ALLOW,11508,21549,66,13.43,RULE-5528,accept,vpn,external,16.72,0.38,17.13,27.52,14,TRUE
FW-20250522-O4DHCYD9,5/22/2025 2:00,10.29.121.82,172.16.17.98,59848,0,ICMP,ALLOW,10946,16170,54,1.7,RULE-4098,accept,internal,dmz,22,0.44,20.76,27.06,22,TRUE
FW-20250305-VLD1TXMN,3/5/2025 19:28,185.20.82.178,185.171.149.129,53957,80,TCP,ALLOW,7018,14580,43,9.41,RULE-1481,accept,external,vpn,22.07,0.02,22.59,35.34,1,FALSE
FW-20250519-DFCCVSTU,5/19/2025 14:55,185.222.158.138,185.93.235.105,21537,80,TCP,ALLOW,16740,11509,56,8.22,RULE-1489,accept,external,cloud,23.94,0.62,23.37,22.03,4,FALSE
FW-20250424-SLFKXVUP,4/24/2025 15:24,172.16.113.9,185.134.98.88,20973,443,TCP,ALLOW,13904,7304,42,0.1,RULE-4529,accept,dmz,external,23.38,0,26.09,20.94,1,FALSE
FW-20250506-VFVSLF50,5/6/2025 16:01,172.16.218.223,10.28.163.180,61388,8080,TCP,ALLOW,10657,7287,35,5.57,RULE-9483,accept,dmz,internal,28.54,0.59,19.35,21.41,3,FALSE
FW-20250226-Z1O1W83T,2/26/2025 5:49,185.37.144.137,10.70.29.208,58822,5432,TCP,ALLOW,8938,9336,36,11.43,RULE-4192,accept,vpn,management,33.54,0.75,31.52,35.19,2,TRUE
FW-20250508-6IIGK5Y5,5/8/2025 0:13,185.85.242.193,185.208.45.94,64326,22,TCP,ALLOW,10918,10744,43,11.54,RULE-3443,accept,external,cloud,22.64,0.45,21.94,25.93,7,FALSE
FW-20250429-D5GHXPHY,4/29/2025 3:02,185.190.12.231,10.240.70.195,17635,80,TCP,ALLOW,6787,23281,60,10.95,RULE-6954,accept,vpn,internal,15.57,0.32,13.68,35.62,10,TRUE
FW-20250528-I24H66UW,5/28/2025 2:35,10.234.237.8,172.16.41.89,38331,22,TCP,ALLOW,100,13340,26,9.84,RULE-6015,accept,management,dmz,22.26,1.44,21.63,28.29,13,FALSE
FW-20250527-VK9YBGFA,5/27/2025 13:27,10.188.178.245,185.165.203.143,37228,443,TCP,ALLOW,11574,12211,47,0.78,RULE-8044,accept,internal,external,27.16,1.21,29.42,36.5,1,TRUE
FW-20250211-USUG0RYR,2/11/2025 19:49,10.11.117.46,10.35.243.27,14443,0,ICMP,ALLOW,18126,14518,65,12.59,RULE-2089,accept,management,internal,24.55,1.33,15.72,32.13,20,FALSE
FW-20250327-RE5Y8D56,3/27/2025 17:08,172.16.166.156,185.193.174.44,55845,53,UDP,ALLOW,3417,12427,31,19.39,RULE-9032,accept,dmz,cloud,22.96,0.77,17.38,32.9,19,FALSE
FW-20250217-MAN9IB90,2/17/2025 3:12,185.246.44.180,185.235.187.122,1642,443,TCP,ALLOW,145,5880,12,5.17,RULE-8935,accept,vpn,vpn,19.69,0,18.78,35.42,15,TRUE
FW-20250526-0EPWK314,5/26/2025 15:27,185.105.161.65,185.225.95.199,51098,8080,TCP,ALLOW,12997,9412,44,14.17,RULE-2608,accept,vpn,cloud,21.45,0.03,17.61,21.7,8,TRUE
FW-20250421-RB0QOG4P,4/21/2025 3:28,172.16.23.250,185.240.90.1,25923,25,TCP,ALLOW,10308,9619,39,12.29,RULE-8348,accept,dmz,external,23.08,0.61,17.88,31.01,2,FALSE
FW-20250224-1T5JFBHS,2/24/2025 1:11,10.101.253.213,10.119.135.185,63660,0,ICMP,ALLOW,2174078,24550,8779,6.12,RULE-6060,accept,internal,internal,236.61,0.53,96.92,84.78,6885,TRUE
FW-20250216-KCME38IU,2/16/2025 0:57,185.179.36.220,10.167.187.220,59714,22,TCP,ALLOW,9513,12386,43,5.86,RULE-6137,accept,external,management,27.64,0.61,21.19,32.03,21,FALSE
FW-20250224-7YJBEO7W,2/24/2025 6:41,185.201.20.139,172.16.143.137,60783,22,TCP,ALLOW,7434,2238,19,14.94,RULE-2280,accept,cloud,dmz,16.4,0.64,18.77,25.42,17,FALSE
FW-20250617-LPLJAU36,6/17/2025 2:33,172.16.229.27,185.17.225.68,64104,80,TCP,ALLOW,9227,12923,44,17.73,RULE-8569,accept,dmz,vpn,1289.04,19.82,88.22,33.05,14,FALSE
FW-20250405-T3SHHZ55,4/5/2025 13:51,185.162.167.170,10.39.168.240,29184,22,TCP,ALLOW,19096,100,38,11.41,RULE-1033,accept,vpn,internal,20.09,0.59,19.23,26.39,2,TRUE
FW-20250210-1GOORR8V,2/10/2025 21:38,10.26.244.85,10.137.183.34,41120,0,ICMP,ALLOW,16322,17126,66,15.21,RULE-4803,accept,internal,internal,28.21,1.24,23.6,33.03,6,TRUE
FW-20250425-2KNBBLD2,4/25/2025 10:12,10.85.170.159,185.5.117.116,28724,8080,TCP,ALLOW,14104,9662,47,13.63,RULE-1681,accept,internal,external,11.86,0.73,19.11,32.04,23,TRUE
FW-20250509-UCLZZCLU,5/9/2025 18:23,185.145.26.47,10.191.12.226,51711,0,ICMP,DENY,1235,10613,23,0.1,RULE-3570,drop,external,internal,23.41,0.89,26.12,28.63,1,FALSE
FW-20250614-FFWO92R9,6/14/2025 19:28,185.153.151.251,172.16.69.83,60482,8080,TCP,ALLOW,1838,20876,45,3.18,RULE-8754,accept,vpn,dmz,35.4,1.32,24.57,25.2,12,TRUE
FW-20250531-ZE4LHWG0,5/31/2025 13:40,185.59.19.161,10.131.135.158,51669,80,TCP,ALLOW,2005,11421,26,7.33,RULE-2060,accept,cloud,internal,22.64,0,29.82,29.57,1,FALSE
FW-20250331-8VYDI6HV,3/31/2025 16:49,10.167.229.241,10.180.165.173,3431,22,TCP,ALLOW,15789,8557,48,8.68,RULE-6339,accept,management,internal,20.78,0.74,27.9,31.25,1,FALSE
FW-20250622-WVYH1OZD,6/22/2025 11:26,10.25.28.5,185.70.98.115,43155,8080,TCP,ALLOW,6812,20282,54,9,RULE-7030,accept,management,cloud,31.81,0.47,31.31,21.86,1,FALSE
FW-20250628-JUMEP5V5,6/28/2025 7:17,172.16.255.209,185.116.89.116,46086,5432,TCP,ALLOW,14555,16408,61,20.11,RULE-8827,accept,dmz,external,1308.81,16.69,90.38,35.62,15,FALSE
FW-20250627-Z40H1LTG,6/27/2025 7:18,10.244.189.156,10.15.128.45,47970,56510,TCP,DENY,15546,12151,55,12.63,RULE-3842,drop,management,internal,31.04,0.65,26.39,29.22,1,FALSE
FW-20250424-4PIJ7RZ8,4/24/2025 13:32,172.16.237.194,10.179.108.171,9321,53,UDP,ALLOW,3758566,22011,13144,9.22,RULE-3387,accept,dmz,internal,591.64,0.11,97.81,85.34,10709,FALSE
FW-20250520-VF5B3R6T,5/20/2025 4:06,172.16.10.56,172.16.192.75,55674,0,ICMP,ALLOW,7906,12228,40,13.98,RULE-1887,accept,dmz,dmz,17.89,0,21.56,26.27,13,FALSE
FW-20250507-5QUO1VBF,5/7/2025 5:58,10.150.222.152,185.73.37.169,46188,8080,TCP,ALLOW,17606,22459,80,13.38,RULE-7964,accept,management,vpn,464.79,15.66,99.88,28.39,11,FALSE
FW-20250515-P4P3AZYP,5/15/2025 21:43,185.12.193.48,185.228.109.75,47623,0,ICMP,ALLOW,19701,15146,69,11.92,RULE-4893,accept,external,cloud,23.84,0.53,15.41,21.55,20,FALSE
FW-20250520-OOQ9SR37,5/20/2025 18:47,10.33.233.227,172.16.159.254,15937,5432,TCP,ALLOW,8017,7487,31,16.21,RULE-5572,accept,internal,dmz,23.95,0.07,21.07,24.34,14,TRUE
FW-20250219-DHPA05NL,2/19/2025 14:36,172.16.137.17,185.69.234.31,30724,22,TCP,ALLOW,16354,9080,50,17.31,RULE-3587,accept,dmz,cloud,1190.87,15.15,86.57,29.93,5,FALSE
FW-20250420-S6FJHT2Y,4/20/2025 5:14,185.77.254.197,185.245.6.19,3623,22,TCP,ALLOW,16087,535,33,0.1,RULE-5826,accept,vpn,cloud,21.26,1.61,23.36,28.68,12,TRUE
FW-20250611-P2WIV7X8,6/11/2025 9:40,185.219.34.24,185.36.70.145,34091,443,TCP,ALLOW,8666,13429,44,5.36,RULE-1961,accept,cloud,vpn,22.01,0.7,13.48,32.13,18,FALSE
FW-20250208-VIRTVH5R,2/8/2025 11:43,10.192.46.77,185.190.215.177,62328,22,TCP,ALLOW,14010,7684,43,9.88,RULE-5753,accept,management,external,23.02,0,19.88,30.78,3,FALSE
FW-20250629-S446FVRZ,6/29/2025 16:03,10.235.145.53,10.61.96.217,1774,53,UDP,ALLOW,1683,19094,41,7.77,RULE-1459,accept,internal,internal,28.4,1.14,35.21,29.16,11,TRUE
FW-20250424-0M1SFZ0Y,4/24/2025 6:24,172.16.162.43,185.5.27.137,7677,8080,TCP,ALLOW,8383,18998,54,5.9,RULE-3007,accept,dmz,external,31.15,0.94,21.99,34.1,29,FALSE
FW-20250627-8GJX133S,6/27/2025 21:14,185.91.215.44,10.167.184.105,18191,22,TCP,DENY,13967,12269,52,9,RULE-3985,drop,external,internal,25.42,0.9,25.5,23.33,15,FALSE
FW-20250224-QZDQVEN1,2/24/2025 1:15,10.254.5.144,185.168.86.192,38200,0,ICMP,ALLOW,2682689,14485,17611,20.55,RULE-2267,accept,internal,vpn,685.17,1.54,85.99,98.51,13568,TRUE
FW-20250421-97TBYYET,4/21/2025 19:16,185.95.36.65,185.13.34.69,53063,0,ICMP,ALLOW,19358,8796,56,7.36,RULE-2392,accept,external,external,24.21,1.5,24.49,27.64,28,FALSE
FW-20250201-KHU8KPL5,2/1/2025 20:42,185.200.54.17,185.30.37.96,64245,0,ICMP,ALLOW,17010,13938,61,5.1,RULE-1804,accept,cloud,cloud,32.76,1,23.61,32.54,1,FALSE
FW-20250407-QW0M4JJW,4/7/2025 23:37,10.37.146.65,10.211.235.7,33561,0,ICMP,ALLOW,18756,8468,54,5.69,RULE-3252,accept,internal,management,22.5,1.02,22.81,37.38,4,TRUE
FW-20250206-AVJN6L0G,2/6/2025 15:49,185.44.48.12,185.134.1.151,42483,3389,TCP,ALLOW,3638,14073,35,4.34,RULE-2865,accept,vpn,cloud,22.97,0.55,19.16,32.46,12,TRUE
FW-20250211-QIS0LKW9,2/11/2025 23:32,185.124.22.160,10.243.157.115,9270,5432,TCP,ALLOW,8997,10290,38,14,RULE-3888,accept,cloud,internal,28.5,0.27,24.54,26.75,3,FALSE
FW-20250320-KU39OQQQ,3/20/2025 21:57,185.253.99.56,172.16.41.33,27628,5432,TCP,ALLOW,6038,14338,40,16.28,RULE-3413,accept,vpn,dmz,22.9,0,26.66,24.67,16,TRUE
FW-20250601-JFQU4L7O,6/1/2025 9:01,185.59.111.199,185.1.238.71,7856,22,TCP,ALLOW,6402,11224,35,1.1,RULE-4528,accept,cloud,external,22.75,0.24,18.69,33.24,1,FALSE
FW-20250623-G5QEV4FQ,6/23/2025 16:47,185.44.10.237,10.131.209.12,16234,25,TCP,ALLOW,8976,12912,43,10.59,RULE-4388,accept,cloud,management,30.84,0.56,25.52,28.15,17,FALSE
FW-20250410-DFW4MAZU,4/10/2025 19:30,10.244.70.241,10.29.104.66,19514,3389,TCP,ALLOW,14027,6311,40,13.01,RULE-3052,accept,management,internal,18.31,0.33,13.96,24.95,15,FALSE
FW-20250324-0DVDSDJM,3/24/2025 0:15,185.141.46.217,10.19.195.45,30943,80,TCP,ALLOW,21462,14951,72,13.71,RULE-4214,accept,cloud,management,23.56,0.81,16.61,30.88,18,FALSE
FW-20250210-MTHU3T4E,2/10/2025 23:39,185.6.137.10,185.157.132.63,21171,0,ICMP,ALLOW,21699,4824,53,8.32,RULE-7819,accept,vpn,external,30.49,0.34,16.76,28.7,5,TRUE
FW-20250628-QB3RBMDC,6/28/2025 21:47,185.181.141.80,172.16.142.5,56364,0,ICMP,ALLOW,12756,5839,37,14.56,RULE-6452,accept,vpn,dmz,20.01,0,22.85,32.6,4,TRUE
FW-20250615-I8C2UNQ3,6/15/2025 12:22,10.8.17.233,185.146.58.109,59058,0,ICMP,ALLOW,15950,8411,48,10.14,RULE-2807,accept,management,vpn,27.02,0,19.08,33.69,21,FALSE
FW-20250605-9O7P11OK,6/5/2025 15:08,172.16.36.166,10.234.189.15,51290,0,ICMP,ALLOW,9561,15928,50,8.19,RULE-2781,accept,dmz,management,22.7,0.72,30.11,37.5,7,FALSE
FW-20250409-PQZ8AGOT,4/9/2025 11:38,172.16.183.76,10.14.25.98,62274,25,TCP,ALLOW,3506,21090,49,6.52,RULE-7112,accept,dmz,internal,25.34,0,10.3,35.63,7,FALSE
FW-20250608-0VWW2LOJ,6/8/2025 4:00,185.138.202.92,185.10.209.174,17559,0,ICMP,ALLOW,9446,20753,60,12.04,RULE-9077,accept,cloud,external,27.57,0,18.47,29.47,12,FALSE
FW-20250418-CV03OTWM,4/18/2025 22:44,185.255.197.97,185.109.8.82,56084,8080,TCP,ALLOW,12775,6958,39,3.39,RULE-6708,accept,cloud,cloud,34.49,1.03,23.45,31.93,4,FALSE
FW-20250206-USOISI4F,2/6/2025 10:02,185.33.119.84,185.185.131.175,2143,53,UDP,ALLOW,8961,8236,34,5.39,RULE-1628,accept,external,external,16.81,0.52,25.06,31.82,11,FALSE
FW-20250714-I8H1DHVJ,7/14/2025 16:06,172.16.201.171,185.214.10.148,17817,3389,TCP,ALLOW,13100,6935,40,11.83,RULE-1504,accept,dmz,external,33.13,1.8,21.5,30.38,10,FALSE
FW-20250507-8GI1LMTM,5/7/2025 14:30,172.16.150.254,185.245.131.108,58379,22,TCP,ALLOW,13439,11675,50,9.02,RULE-5163,accept,dmz,cloud,16.04,1.16,17.74,30.72,26,FALSE
FW-20250509-GMO0JRGV,5/9/2025 17:38,10.215.201.235,172.16.123.31,1176,80,TCP,ALLOW,4961,10772,31,4.8,RULE-4772,accept,internal,dmz,25.8,0.49,18.33,35.78,20,TRUE
FW-20250610-1NEI5VIE,6/10/2025 16:32,185.165.62.156,10.133.230.176,40852,3306,TCP,ALLOW,593,13388,27,5.4,RULE-3496,accept,cloud,internal,34.5,0.32,31.03,28.28,5,FALSE
FW-20250613-SPGVRATP,6/13/2025 8:10,185.24.128.105,10.98.241.143,61755,25,TCP,DENY,2173,15603,35,9.8,RULE-9236,drop,external,internal,18.65,0.99,16.61,21.98,8,FALSE
FW-20250312-8XISSUN8,3/12/2025 22:25,185.80.224.28,172.16.197.32,16816,248,TCP,DENY,4358,15658,12,0.09,RULE-7180,drop,external,dmz,34.73,0.91,17.27,19.52,15,FALSE
FW-20250211-YUSIB392,2/11/2025 15:44,172.16.181.195,185.178.191.226,57106,0,ICMP,ALLOW,14367,18932,66,4.21,RULE-1363,accept,dmz,vpn,27.78,0.69,26.41,28.66,6,FALSE
FW-20250512-34BR7CG0,5/12/2025 7:39,10.233.89.106,185.181.53.181,64878,3306,TCP,ALLOW,3961,2946,13,7.28,RULE-6980,accept,internal,cloud,21.36,0,18.64,34.67,1,TRUE
FW-20250504-J73R1JB5,5/4/2025 1:54,185.185.70.73,185.86.19.29,9268,25,TCP,ALLOW,10141,9454,39,10.55,RULE-6040,accept,cloud,cloud,16.14,0.8,17.8,19.11,4,FALSE
FW-20250628-O6I5Q1AB,6/28/2025 6:02,10.152.39.117,185.203.193.79,4721,0,ICMP,ALLOW,11568,16495,56,0.1,RULE-1284,accept,internal,external,25.41,0.54,15.11,33.93,21,TRUE
FW-20250511-CBFEJMWT,5/11/2025 10:23,10.29.157.248,10.103.98.25,27981,5432,TCP,ALLOW,19227,5205,48,19.49,RULE-4320,accept,internal,management,18.69,0.55,16.22,34.57,9,TRUE
FW-20250322-P3A6FBIR,3/22/2025 1:44,185.154.103.87,185.113.133.215,54135,80,TCP,ALLOW,6311,18773,50,11.6,RULE-9168,accept,cloud,external,18.21,1.31,27.88,27.49,1,FALSE
FW-20250222-ZBI3WB8Q,2/22/2025 19:39,172.16.65.111,185.29.87.131,41549,0,ICMP,ALLOW,15289,16144,62,12.36,RULE-7571,accept,dmz,vpn,22.6,0.02,12.69,43.55,10,FALSE
FW-20250422-0PCEPIBL,4/22/2025 21:43,172.16.254.81,10.110.180.15,20510,3389,TCP,ALLOW,13494,11502,49,14.09,RULE-3755,accept,dmz,management,30.98,0.87,18.01,25.03,8,FALSE
FW-20250218-EZL5MSVQ,2/18/2025 12:46,10.74.142.203,10.126.126.28,47085,22,TCP,ALLOW,16010,100,32,5.38,RULE-8477,accept,management,internal,8.41,0,12.6,29.23,1,FALSE
FW-20250702-EHQ8R1VA,7/2/2025 0:36,185.49.72.118,185.255.132.82,56989,80,TCP,ALLOW,3459,12452,31,3.78,RULE-9107,accept,vpn,cloud,22.3,1.21,21.81,32.49,1,TRUE
FW-20250620-ZI8D6OB1,6/20/2025 10:03,10.60.140.218,172.16.36.207,33223,0,ICMP,ALLOW,15390,19157,69,22.67,RULE-4504,accept,internal,dmz,28.49,0.5,26.56,27.53,12,TRUE
FW-20250405-6HWTORUK,4/5/2025 16:21,172.16.133.243,10.120.192.133,61713,8080,TCP,ALLOW,14981,4508,38,9.48,RULE-2576,accept,dmz,management,18.92,0.43,25.61,33.01,8,FALSE
FW-20250418-NGAOK4AT,4/18/2025 16:41,10.1.110.167,10.241.81.208,14113,53,UDP,ALLOW,11807,100,23,8.81,RULE-8976,accept,internal,management,18.38,0.49,14.05,30.58,6,TRUE
FW-20250311-6YB0BEUY,3/11/2025 7:51,185.69.200.37,10.221.160.5,8066,443,TCP,ALLOW,3846,18896,45,15.87,RULE-2650,accept,cloud,internal,15.92,0,21.11,28.96,2,FALSE
FW-20250326-O1JISX3W,3/26/2025 7:33,10.128.144.199,10.187.175.61,11365,0,ICMP,ALLOW,9362,12915,44,13.82,RULE-9418,accept,internal,internal,20.32,0.07,14.97,39.08,15,TRUE
FW-20250628-097QZW33,6/28/2025 6:40,10.32.36.222,10.37.118.217,35090,443,TCP,ALLOW,9588,7708,34,7.01,RULE-8356,accept,management,internal,10.94,1.21,21.64,28.56,8,FALSE
FW-20250606-38ZUS8N8,6/6/2025 10:37,185.64.63.47,185.68.222.15,20886,0,ICMP,ALLOW,10299,1630,23,5.7,RULE-2023,accept,cloud,cloud,26.07,0.71,25.21,36.64,1,FALSE
FW-20250519-KEMNKGYQ,5/19/2025 17:08,185.217.78.23,185.38.218.25,63267,0,ICMP,ALLOW,12161,6984,38,3.97,RULE-8262,accept,external,vpn,11.19,0,16.03,34.86,11,FALSE
FW-20250224-JBQ6DCP6,2/24/2025 2:05,10.0.28.222,172.16.18.169,37513,25,TCP,ALLOW,16622,6773,46,2.3,RULE-4667,accept,management,dmz,20.47,1.39,5.14,30,1,FALSE
FW-20250429-VLDYZHUM,4/29/2025 7:17,10.95.200.87,172.16.49.59,41005,80,TCP,ALLOW,9487,100,19,0.1,RULE-1394,accept,internal,dmz,366.99,15.27,92.81,28.52,5,TRUE
FW-20250621-9KUM0FBX,6/21/2025 15:13,10.142.147.148,185.243.233.253,34077,5432,TCP,ALLOW,7233,14974,44,18.91,RULE-1062,accept,management,external,24.16,0.2,22.97,30.87,1,FALSE
FW-20250406-PG77G9TQ,4/6/2025 11:15,172.16.102.1,10.121.119.23,26912,3306,TCP,ALLOW,5679,17177,45,9.28,RULE-8926,accept,dmz,management,21.29,0.19,22.39,35.51,6,FALSE
FW-20250626-MNL4UG2V,6/26/2025 22:59,10.89.102.30,185.100.32.39,63278,3306,TCP,ALLOW,9179,10400,39,11.91,RULE-7974,accept,internal,vpn,17.53,0.29,18.23,30.32,1,TRUE
FW-20250604-4R328S1A,6/4/2025 3:12,185.108.170.156,172.16.66.5,7164,8080,TCP,ALLOW,17169,10288,54,11.87,RULE-2491,accept,vpn,dmz,1338.29,17.37,90.07,30.89,15,TRUE
FW-20250620-6XQXAPEQ,6/20/2025 20:02,172.16.184.219,10.127.217.49,64107,8080,TCP,ALLOW,5128,19544,49,7.27,RULE-7353,accept,dmz,internal,27.17,0,25.93,27.74,1,FALSE
FW-20250421-MIWIGL0R,4/21/2025 2:48,185.55.13.118,185.225.54.137,3834,22,TCP,ALLOW,21311,21073,84,12.38,RULE-7882,accept,vpn,cloud,31.55,1.01,26.89,24.85,25,TRUE
FW-20250212-PDOUTZPR,2/12/2025 16:51,172.16.166.208,172.16.167.158,62848,0,ICMP,ALLOW,8993,18180,54,10.5,RULE-2602,accept,dmz,dmz,13.89,0.68,19.16,34.67,1,FALSE
FW-20250312-6AHYCZIS,3/12/2025 13:54,185.179.13.160,172.16.15.73,58404,0,ICMP,ALLOW,7421,5601,26,8.25,RULE-1651,accept,vpn,dmz,10.66,1.04,11.95,35.85,20,TRUE
FW-20250407-86RN1FCO,4/7/2025 16:42,10.106.207.92,10.179.22.134,49011,797,TCP,DENY,100,8043,17,0.95,RULE-5825,drop,internal,internal,21.63,0.7,20.58,23.87,1,TRUE
FW-20250222-QSG2ZZQQ,2/22/2025 19:52,10.169.184.13,185.124.3.56,61617,25,TCP,ALLOW,10177,16454,53,5.89,RULE-9813,accept,management,cloud,18.51,0.1,24.39,27,14,FALSE
FW-20250509-MGOWP72I,5/9/2025 5:20,10.227.241.248,10.201.181.182,45360,443,TCP,ALLOW,2397,12796,30,8.74,RULE-3232,accept,management,internal,26.85,1.22,25.6,28.74,1,FALSE
FW-20250528-75SLFFSR,5/28/2025 8:49,10.95.239.191,10.153.191.190,20889,80,TCP,ALLOW,17931,8015,51,11.18,RULE-4921,accept,management,internal,23.05,0.53,24.54,26.98,10,FALSE
FW-20250307-EPY39OGJ,3/7/2025 5:07,185.181.76.245,185.73.170.72,63676,5432,TCP,ALLOW,10941,6757,35,10.6,RULE-1260,accept,vpn,cloud,27.73,0,20.56,24.67,15,TRUE
FW-20250528-ADCJL3ZO,5/28/2025 9:53,10.219.132.31,185.40.71.11,64402,3389,TCP,ALLOW,6747,12499,38,10.91,RULE-2542,accept,management,cloud,10.99,1.11,17.24,33.74,9,FALSE
FW-20250225-X5WAM738,2/25/2025 20:38,185.52.220.191,185.220.159.185,19888,0,ICMP,ALLOW,7392,12508,39,13.35,RULE-4104,accept,vpn,external,23.56,0.9,21.35,29.94,1,TRUE
FW-20250508-CK1ED2PN,5/8/2025 8:44,185.12.252.4,185.241.31.14,60040,53,UDP,ALLOW,13313,13589,53,5.58,RULE-7092,accept,cloud,cloud,14.9,0.9,16.81,33.21,23,FALSE
FW-20250326-ZKUBCGCT,3/26/2025 8:25,10.151.0.4,172.16.172.79,60431,443,TCP,ALLOW,2638,9802,24,7.27,RULE-8131,accept,internal,dmz,15.43,1.62,13.69,29.2,8,TRUE
FW-20250309-1E77SNXG,3/9/2025 3:27,185.59.110.162,185.42.146.215,51256,3389,TCP,ALLOW,1445,14167,31,7.24,RULE-7951,accept,cloud,external,19.61,0.55,22.92,34.96,3,FALSE
FW-20250520-Q9BHAA96,5/20/2025 5:49,185.35.38.249,185.81.140.76,50126,22,TCP,ALLOW,8979,14080,46,14.46,RULE-8358,accept,vpn,external,1035.17,19.83,93.28,31.95,1,TRUE
FW-20250601-G1DNYPBS,6/1/2025 19:41,10.55.255.98,10.150.195.141,36885,3389,TCP,ALLOW,7901,11556,38,0.24,RULE-7762,accept,internal,internal,27.06,0.13,26.24,28.94,22,TRUE
FW-20250503-QKLX37DK,5/3/2025 10:51,185.157.169.245,185.23.239.200,9656,0,ICMP,ALLOW,12093,7207,38,6.15,RULE-6139,accept,cloud,vpn,22.13,1.66,26.84,26.31,11,FALSE
FW-20250605-3HGG0ODA,6/5/2025 3:57,10.197.138.36,172.16.29.248,12820,0,ICMP,ALLOW,4469,14431,37,12.9,RULE-2751,accept,management,dmz,15.08,0,16.55,24.06,1,FALSE
FW-20250621-TSK0QF4O,6/21/2025 16:49,10.146.231.188,10.167.153.198,23723,502,TCP,DENY,8093,15575,1,1.33,RULE-9535,drop,management,management,18.61,0.56,14.65,26.14,1,FALSE
FW-20250421-QJ2A9P2S,4/21/2025 3:29,10.206.234.77,172.16.234.13,46275,443,TCP,ALLOW,15819,18069,67,16.88,RULE-6437,accept,management,dmz,20.75,0.44,17.49,26.21,11,FALSE
FW-20250406-4GFAYHPT,4/6/2025 19:58,10.153.199.217,10.96.237.203,63633,8080,TCP,ALLOW,9272,6062,30,6.41,RULE-2460,accept,internal,internal,14.56,0.72,17.6,29.45,16,TRUE
FW-20250624-B8C92W07,6/24/2025 23:34,185.102.206.77,10.200.30.30,57019,5432,TCP,ALLOW,13102,10363,46,5.77,RULE-7446,accept,external,management,11.98,0.24,9.68,27.23,1,FALSE
FW-20250609-MRMXII0J,6/9/2025 6:11,10.206.24.78,185.215.248.252,36726,8080,TCP,ALLOW,134,13849,27,4.86,RULE-2303,accept,internal,cloud,17.45,0.43,15.36,26.33,5,TRUE
FW-20250330-T4UIBNE3,3/30/2025 12:02,172.16.229.234,10.220.46.9,53906,473,TCP,DENY,7940,100,3,1.64,RULE-2688,drop,dmz,internal,26.67,0.08,25.94,26.33,15,FALSE
FW-20250424-JYLUZDWX,4/24/2025 14:48,10.64.238.24,185.126.142.23,20749,188,ICMP,DENY,8024,13394,18,0.56,RULE-6181,drop,internal,vpn,22.76,1.45,24.44,29.22,16,TRUE
FW-20250408-APUJR73T,4/8/2025 12:29,185.182.225.93,185.153.185.192,63785,80,TCP,ALLOW,8880,4766,27,0.1,RULE-8152,accept,external,vpn,27.65,0.76,23.8,24.33,1,FALSE
